Product ID,Product Name,Description,Price,Quantity,Image URL
P001,Smartphone X,Latest model smartphone with high-end features,699.99,50,https://via.placeholder.com/200
P002,Laptop Pro,High-performance laptop for professionals,1299.99,30,https://via.placeholder.com/200
P003,Wireless Earbuds,Noise-cancelling wireless earbuds,149.99,100,https://via.placeholder.com/200
P004,Smartwatch S,Smartwatch with health tracking features,199.99,75,https://via.placeholder.com/200
P005,4K TV,55-inch 4K Ultra HD Smart TV,499.99,20,https://via.placeholder.com/200
P006,Bluetooth Speaker,Portable Bluetooth speaker with powerful sound,89.99,150,https://via.placeholder.com/200
P007,Digital Camera,Compact digital camera with high-resolution imaging,349.99,40,https://via.placeholder.com/200
P008,Gaming Console,Next-gen gaming console with 1TB storage,499.99,25,https://via.placeholder.com/200
P009,Tablet A,Lightweight tablet with 10-inch display,299.99,60,https://via.placeholder.com/200
P010,Smart Home Hub,Control all your smart home devices from one place,129.99,80,https://via.placeholder.com/200 
